Predicted Match;655494878;4270773874;2069952534;MatchData;PredictionDate;PredictionID
Hungary - Switzerland;1:1:1;;1:1:1;8/15/2024 3:00:00 PM,Hungary,Switzerland,1,3,,;8/15/2024 2:12:10 PM;1802700850
Germany - Scotland;4:0:1;3:0:1;;8/15/2024 9:00:00 PM,Germany,Scotland,5,1,,;8/15/2024 2:04:42 PM;2862514635
Spain - Croatia;3:0:1;;;8/15/2024 6:00:00 PM,Spain,Croatia,3,0,,;8/15/2024 1:29:43 PM;3784004077
Italy - Albania;2:1:1;3:1:1;;8/15/2024 9:00:00 PM,Italy,Albania,2,1,,;8/15/2024 3:12:01 PM;952482366
Türkiye - Georgia;4:1:1;3:1:1;4:2:1;8/18/2024 6:00:00 PM,Türkiye,Georgia,3,1,,;8/18/2024 4:53:23 PM;2804985876
Portugal - Czechia;3:1:1;3:2:1;2:0:1;8/18/2024 9:00:00 PM,Portugal,Czechia,2,1,,;8/18/2024 4:53:30 PM;2700977047
Croatia - Albania;3:1:1;2:1:1;2:2:1;8/19/2024 3:00:00 PM,Croatia,Albania,2,2,,;8/19/2024 12:03:32 PM;3495086002
Germany - Hungary;2:1:1;3:2:1;2:0:1;8/19/2024 6:00:00 PM,Germany,Hungary,2,0,,;8/19/2024 12:03:47 PM;3928511496
Scotland - Switzerland;1:2:1;0:2:1;1:1:1;8/19/2024 9:00:00 PM,Scotland,Switzerland,1,1,,;8/19/2024 11:56:22 AM;953311014
Real Valladolid CF - RCD Espanyol de Barcelona;3:2:0;1:2:0;;8/19/2024 7:00:00 PM,Real Valladolid CF,RCD Espanyol de Barcelona,,,,;8/19/2024 4:14:23 PM;1964863735
Villarreal CF - Atlético de Madrid;1:3:0;;;8/19/2024 9:30:00 PM,Villarreal CF,Atlético de Madrid,,,,;8/19/2024 4:08:25 PM;489910983
Slovenia - Serbia;1:1:0;1:1:0;;8/20/2024 3:00:00 PM,Slovenia,Serbia,1,1,,;8/20/2024 2:35:38 PM;2610295679
Denmark - England;1:2:0;;;8/20/2024 6:00:00 PM,Denmark,England,1,1,,;8/20/2024 12:19:57 PM;3599540294
Spain - Italy;3:0:0;;;8/20/2024 9:00:00 PM,Spain,Italy,1,0,,;8/20/2024 12:20:01 PM;1919834283
